2024-01-16 22:58:47,338 [INFO]- "GET /devices/1/camera HTTP/1.1" 301 0
2024-01-16 22:58:47,481 [INFO]- "GET /devices/1/camera/ HTTP/1.1" 200 7342
2024-01-16 22:58:47,548 [INFO]- "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
2024-01-16 22:58:47,601 [INFO]- "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
2024-01-16 22:58:47,601 [INFO]- "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
2024-01-16 22:58:47,608 [INFO]- "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3385
2024-01-16 22:58:47,626 [INFO]- "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3597
2024-01-16 22:58:47,636 [INFO]- "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1719
2024-01-16 22:58:47,646 [INFO]- "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
2024-01-16 22:58:47,669 [INFO]- "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
2024-01-16 22:58:47,675 [INFO]- "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
2024-01-16 22:58:47,685 [INFO]- "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
2024-01-16 22:58:47,708 [INFO]- "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
2024-01-16 22:58:58,144 [WARNING]- Not Found: /media/videos
2024-01-16 22:58:58,146 [WARNING]- "GET /media/videos HTTP/1.1" 404 3647
2024-01-16 22:59:16,722 [INFO]- "GET /media/videos/final_video.mp4 HTTP/1.1" 200 610083
2024-01-19 21:15:33,449 [INFO]- Watching for file changes with StatReloader
2024-01-19 21:15:36,383 [WARNING]- Not Found: /
2024-01-19 21:15:36,385 [WARNING]- "GET / HTTP/1.1" 404 3577
2024-01-19 21:15:46,401 [INFO]- "GET /devices/1/sensors/temperature HTTP/1.1" 301 0
2024-01-19 21:15:46,741 [INFO]- "GET /devices/1/sensors/temperature/ HTTP/1.1" 200 21740
2024-01-19 21:19:16,652 [INFO]- "GET /devices/1/sensors/temperature/? HTTP/1.1" 200 21740
2024-01-19 21:19:20,247 [INFO]- "GET /devices/1/sensors/temperature/?count=1 HTTP/1.1" 200 7309
2024-01-19 21:19:21,039 [INFO]- "GET /devices/1/sensors/temperature/?count HTTP/1.1" 200 21786
2024-01-19 21:19:24,153 [INFO]- "GET /devices/1/sensors/temperature/?count=1 HTTP/1.1" 200 7309
